Id,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,Condition1,BldgType,HouseStyle,TotalBsmtSF,Foundation,CentralAir,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,TotalBath,GarageCars,GarageArea,WasRemodeled,AgeWhenSold,SalePrice
530,RL,0.0,30000,IR1,Crawfor,Norm,1Fam,1Story,2000,PConc,Y,2515,4,9,2,4,2,484,Y,50,200624
492,RL,79.0,9490,Reg,NAmes,Artery,1Fam,1.5Fin,806,CBlock,Y,1578,3,5,2,2,1,240,Y,65,133000
460,RL,0.0,7015,IR1,BrkSide,Norm,1Fam,1.5Fin,709,CBlock,Y,1203,3,5,1,2,1,352,N,59,110000
280,RL,83.0,10005,Reg,ClearCr,Norm,1Fam,2Story,1160,CBlock,Y,2022,4,8,1,3,2,505,N,31,192000
656,RM,21.0,1680,Reg,BrDale,Norm,Twnhs,2Story,525,CBlock,Y,1092,3,6,0,2,1,264,N,39,88000
1014,RM,60.0,7200,Reg,OldTown,Norm,1Fam,1Story,1022,BrkTil,N,1022,2,4,0,2,1,280,Y,99,85000
1404,RL,49.0,15256,IR1,Somerst,RRAn,1Fam,1Story,1485,PConc,Y,1464,3,6,0,3,3,754,N,0,282922
602,RM,50.0,9000,Reg,IDOTRR,Norm,1Fam,1.5Fin,780,PConc,Y,1375,3,6,1,2,1,544,Y,70,141000
1183,RL,150.0,15623,IR1,NoRidge,Norm,1Fam,2Story,2000,PConc,Y,3000,4,10,2,4,3,813,N,11,745000
688,FV,0.0,5105,IR2,Somerst,Norm,TwnhsE,2Story,551,PConc,Y,1102,2,4,0,3,2,480,N,3,148800
1318,FV,47.0,4230,Reg,Somerst,Norm,TwnhsE,1Story,1352,PConc,Y,1352,2,5,1,2,2,466,Y,1,208900
1004,RL,0.0,11500,IR1,NWAmes,Feedr,Duplex,1Story,1680,CBlock,Y,1680,4,8,0,2,2,528,N,31,136905
1301,RL,0.0,10762,IR1,Gilbert,Norm,1Fam,2Story,978,PConc,Y,1983,3,9,1,3,2,490,N,10,225000
1393,RL,68.0,7838,Reg,NAmes,Norm,1Fam,SFoyer,864,CBlock,Y,900,3,6,1,2,1,288,N,39,123000
1015,RL,60.0,11664,Reg,NAmes,Artery,1Fam,1Story,1082,CBlock,Y,1082,2,5,1,1,1,240,Y,59,119200
255,RL,70.0,8400,Reg,NAmes,Norm,1Fam,1Story,1314,CBlock,Y,1314,3,5,0,2,1,294,N,53,145000
1323,RL,107.0,10186,IR1,NoRidge,Norm,1Fam,2Story,750,PConc,Y,1923,3,8,1,4,2,564,N,18,190000
90,RL,60.0,8070,Reg,CollgCr,Norm,1Fam,1Story,990,PConc,Y,990,3,5,0,2,0,0,Y,13,123600
32,RL,0.0,8544,IR1,Sawyer,Norm,1Fam,1Story,1228,CBlock,Y,1228,3,6,0,2,1,271,Y,42,149350
483,RM,50.0,2500,Reg,OldTown,Norm,1Fam,2Story,910,PConc,Y,1826,4,7,1,3,1,164,Y,94,155000
143,RL,71.0,8520,Reg,NAmes,Artery,1Fam,1.5Fin,910,CBlock,Y,1385,4,6,0,2,2,720,N,58,166000
812,RM,0.0,4438,Reg,CollgCr,Norm,TwnhsE,1Story,848,PConc,Y,848,1,4,1,2,2,420,N,4,144500
53,RM,110.0,8472,IR2,IDOTRR,RRNn,Duplex,1Story,816,CBlock,N,816,2,5,0,2,2,516,N,47,110000
858,RL,65.0,8125,Reg,Gilbert,Norm,1Fam,2Story,702,PConc,Y,1481,3,6,1,3,2,343,Y,15,174000
1160,RL,76.0,9120,Reg,NWAmes,Norm,1Fam,2Story,901,CBlock,Y,1876,4,8,1,3,2,540,N,34,185000
992,RM,121.0,17671,Reg,OldTown,Artery,1Fam,2Story,916,BrkTil,Y,1742,4,8,1,2,2,424,Y,100,168000
1359,FV,0.0,2117,Reg,Somerst,Norm,Twnhs,2Story,756,PConc,Y,1573,3,5,0,3,2,440,N,10,177500
650,RM,21.0,1936,Reg,MeadowV,Norm,Twnhs,SFoyer,630,CBlock,Y,630,1,3,0,2,0,0,N,37,84500
725,RL,86.0,13286,IR1,Edwards,Norm,1Fam,1Story,1698,PConc,Y,1698,3,8,1,3,3,768,Y,2,320000
576,RL,80.0,8480,Reg,NAmes,Norm,1Fam,1.5Fin,832,CBlock,Y,1216,2,6,0,1,1,336,Y,61,118500
729,RL,85.0,11475,Reg,NAmes,Norm,Duplex,1Story,1584,CBlock,Y,1776,4,9,0,3,3,888,N,51,110000
847,RL,75.0,9317,Reg,SawyerW,Norm,1Fam,2Story,740,PConc,Y,1775,3,7,1,4,2,425,N,16,213000
361,RL,0.0,7540,IR1,Mitchel,Norm,1Fam,SFoyer,888,CBlock,Y,912,2,5,1,2,2,470,N,29,156000
5,RL,84.0,14260,IR1,NoRidge,Norm,1Fam,2Story,1145,PConc,Y,2198,4,9,1,4,3,836,N,8,250000
679,RL,80.0,11844,IR1,StoneBr,Norm,1Fam,1Story,2000,PConc,Y,2046,3,7,1,3,3,834,N,1,372500
559,RL,57.0,21872,IR2,Gilbert,Norm,1Fam,2Story,729,PConc,Y,1446,3,6,1,4,2,406,Y,12,175000
35,RL,60.0,7313,Reg,NridgHt,Norm,TwnhsE,1Story,1561,PConc,Y,1561,2,6,1,3,2,556,N,2,277500
1026,RL,70.0,7700,Reg,CollgCr,Norm,1Fam,1Story,882,CBlock,Y,882,3,5,0,2,2,461,N,35,112500
550,FV,75.0,9375,Reg,Somerst,Norm,1Fam,2Story,912,PConc,Y,2094,4,8,1,3,2,615,Y,6,263000
1106,RL,98.0,12256,IR1,NoRidge,Norm,1Fam,2Story,1463,PConc,Y,2622,3,9,2,4,2,712,Y,16,325000
176,RL,84.0,12615,Reg,Edwards,Norm,1Fam,1Story,1202,CBlock,Y,2158,4,7,1,3,2,576,Y,57,243000
55,RL,60.0,7134,Reg,NAmes,Norm,1Fam,SLvl,384,CBlock,Y,1360,3,6,1,1,2,572,N,52,130000
402,RL,65.0,8767,IR1,CollgCr,Norm,1Fam,1Story,1310,PConc,Y,1310,3,6,1,2,2,400,N,1,164990
1110,RL,107.0,11362,IR1,NridgHt,Norm,1Fam,1Story,1836,PConc,Y,1836,3,7,1,3,3,862,Y,5,280000
232,RL,150.0,15138,IR1,NoRidge,Norm,1Fam,2Story,1462,PConc,Y,2794,4,9,1,4,3,810,Y,14,403000
331,RL,0.0,10624,IR1,NAmes,Norm,Duplex,1Story,1728,CBlock,Y,1728,5,10,0,3,1,352,N,43,119000
549,RM,49.0,8235,IR1,OldTown,Feedr,1Fam,1Story,825,CBlock,Y,825,2,4,0,2,2,720,Y,53,125000
234,RL,75.0,10650,Reg,CollgCr,Norm,1Fam,1Story,894,CBlock,Y,894,3,5,0,2,1,308,N,34,128200
892,RL,70.0,11184,Reg,Sawyer,Norm,1Fam,2Story,918,CBlock,Y,1683,3,7,1,3,2,440,N,31,172500
1050,RL,60.0,11100,Reg,Edwards,Norm,1Fam,1Story,0,CBlock,Y,930,2,6,0,1,1,308,Y,64,84900
162,RL,110.0,13688,IR1,NridgHt,Norm,1Fam,2Story,1572,PConc,Y,2668,3,10,2,4,3,726,Y,5,412500
487,RL,79.0,10289,Reg,NAmes,Norm,1Fam,1Story,1073,CBlock,Y,1073,3,6,0,3,2,515,N,42,156000
1336,RL,80.0,9650,Reg,NWAmes,Norm,1Fam,1Story,1350,CBlock,Y,1334,2,6,1,3,2,630,N,32,167900
394,RL,0.0,7446,Reg,BrkSide,Feedr,1Fam,1Story,788,CBlock,Y,788,2,4,2,1,0,0,Y,65,100000
427,RL,0.0,12800,Reg,SawyerW,Norm,1Fam,SLvl,1518,PConc,Y,1644,2,5,1,4,2,569,N,20,275000
1341,RL,70.0,8294,Reg,NAmes,Norm,1Fam,1Story,858,CBlock,Y,872,3,5,0,1,4,480,N,36,123000
741,RM,60.0,9600,Reg,OldTown,Norm,1Fam,2Story,264,BrkTil,Y,1432,2,7,0,2,2,360,Y,97,132000
738,RL,72.0,10463,IR1,Gilbert,Norm,1Fam,2Story,893,PConc,Y,1801,3,8,1,3,3,800,N,1,239900
980,RL,80.0,8816,Reg,Sawyer,Feedr,1Fam,1Story,1121,PConc,Y,1121,3,5,0,2,2,480,N,46,139000
108,RM,50.0,6000,Reg,OldTown,Norm,1Fam,1Story,789,CBlock,Y,789,2,5,0,1,1,250,Y,60,115000
616,RL,80.0,8800,Reg,NAmes,Feedr,1Fam,SFoyer,936,PConc,Y,1054,3,6,0,2,2,480,N,47,137500
1071,RL,72.0,10152,Reg,NAmes,Norm,1Fam,1Story,1048,CBlock,Y,1048,3,6,0,2,1,286,N,51,135000
216,RL,72.0,10011,IR1,NAmes,Norm,1Fam,1Story,1070,CBlock,Y,1236,2,6,1,2,1,447,Y,49,134450
1291,RL,0.0,14112,IR1,NAmes,Norm,1Fam,SLvl,1152,PConc,Y,1152,3,6,1,2,2,484,N,46,180500
668,RL,65.0,8125,Reg,SawyerW,Norm,1Fam,1Story,1408,PConc,Y,1679,3,7,1,3,2,575,Y,14,193500
1321,RL,70.0,8400,Reg,NAmes,Norm,1Fam,1Story,1478,CBlock,Y,1478,3,6,2,3,2,442,N,52,156500
527,RL,70.0,13300,Reg,NAmes,Norm,1Fam,1Story,928,CBlock,Y,928,2,4,0,1,1,252,Y,51,132000
573,RL,83.0,13159,IR1,Timber,Norm,1Fam,2Story,846,PConc,Y,1692,3,6,0,3,2,650,N,0,224500
1275,RL,53.0,5362,Reg,Crawfor,Norm,1Fam,1.5Fin,661,PConc,Y,1250,3,8,1,2,2,552,Y,97,139000
823,RL,0.0,12394,IR1,Gilbert,Norm,1Fam,2Story,847,PConc,Y,1733,3,7,1,3,2,433,N,4,225000
316,RL,71.0,7795,IR1,Gilbert,Norm,1Fam,2Story,716,PConc,Y,1432,3,6,1,4,2,432,Y,5,188500
10,RL,50.0,7420,Reg,BrkSide,Artery,2fmCon,1.5Unf,991,BrkTil,Y,1077,2,5,2,2,1,205,Y,69,118000
1001,RL,74.0,10206,Reg,Edwards,Norm,1Fam,1Story,0,Slab,N,944,2,4,0,1,2,528,N,57,82000
689,RL,60.0,8089,Reg,StoneBr,Norm,1Fam,1Story,1419,PConc,Y,1419,2,7,1,3,2,567,N,0,392000
1123,RL,0.0,8926,IR1,Edwards,Norm,1Fam,1Story,672,CBlock,Y,960,3,5,0,1,1,288,N,53,112000
867,RL,67.0,10656,IR1,Timber,Norm,1Fam,1Story,1638,PConc,Y,1646,3,6,1,2,3,870,Y,1,248900
1215,RL,69.0,10205,IR1,NAmes,Norm,1Fam,SFoyer,925,CBlock,Y,999,3,6,0,2,1,300,N,44,134500
590,RM,50.0,9100,Reg,BrkSide,RRAn,1Fam,1Story,742,BrkTil,Y,935,2,4,0,1,1,308,Y,78,79500
160,RL,134.0,19378,IR1,Gilbert,Norm,1Fam,2Story,1392,PConc,Y,2462,4,9,1,4,2,576,Y,1,320000
254,RL,85.0,9350,Reg,NAmes,Norm,1Fam,SLvl,1302,CBlock,Y,1302,3,7,0,3,1,309,Y,43,158000
1130,RM,60.0,7200,Reg,OldTown,Norm,Duplex,SFoyer,936,CBlock,Y,936,2,4,0,2,2,672,N,27,140000
880,RL,0.0,7000,IR1,CollgCr,Norm,1Fam,1Story,864,CBlock,Y,864,3,6,0,2,1,336,Y,31,136500
536,RL,70.0,7000,Reg,Edwards,Norm,2fmCon,2Story,1117,CBlock,Y,1347,3,5,0,2,0,0,Y,98,107500
1048,RL,57.0,9245,IR2,CollgCr,Norm,1Fam,1Story,990,PConc,Y,990,3,5,0,2,2,672,Y,14,145000
1174,RL,138.0,18030,IR1,ClearCr,Norm,1Fam,1.5Fin,1598,CBlock,Y,3000,3,10,1,3,0,0,Y,61,200500
959,RL,65.0,8450,Reg,CollgCr,Norm,1Fam,1Story,1337,PConc,Y,1337,3,6,0,3,2,531,N,4,185000
1405,RL,60.0,10410,Reg,OldTown,Artery,1Fam,1.5Fin,672,PConc,Y,1214,3,6,0,1,3,936,Y,91,105000
512,RL,40.0,6792,IR1,NridgHt,Norm,TwnhsE,1Story,1368,PConc,Y,1368,2,6,1,2,2,474,Y,1,202665
212,RL,83.0,10420,Reg,Edwards,Norm,1Fam,1Story,1212,PConc,Y,1212,3,6,0,2,2,460,N,1,186000
123,RL,75.0,9464,Reg,NAmes,Norm,1Fam,1Story,1080,CBlock,Y,1080,3,5,0,1,1,288,N,50,136000
872,RL,70.0,8750,Reg,CollgCr,Norm,1Fam,2Story,804,PConc,Y,1682,3,7,0,3,2,523,N,12,200500
365,RL,0.0,18800,IR1,NWAmes,Norm,1Fam,2Story,796,PConc,Y,1574,3,6,1,4,2,566,N,30,190000
1085,RL,0.0,13031,IR2,Gilbert,Norm,1Fam,2Story,691,PConc,Y,1498,3,6,1,3,2,409,Y,11,187500
1339,RL,95.0,13450,IR1,CollgCr,Norm,1Fam,2Story,916,PConc,Y,1861,3,8,0,4,2,492,N,4,200000
444,RL,53.0,3922,Reg,Blmngtn,Norm,TwnhsE,1Story,1258,PConc,Y,1258,2,6,1,2,3,648,Y,1,172500
15,RL,0.0,10920,IR1,NAmes,Norm,1Fam,1Story,1253,CBlock,Y,1253,2,5,1,3,1,352,N,48,157000
705,RL,70.0,8400,Reg,CollgCr,Norm,1Fam,1Story,1473,PConc,Y,1484,3,7,0,3,2,606,Y,6,213000
564,RL,66.0,21780,Reg,Edwards,Norm,1Fam,1.5Fin,1163,BrkTil,Y,1674,4,8,1,2,2,396,Y,90,185000
723,RL,70.0,8120,Reg,NAmes,Norm,1Fam,1Story,864,CBlock,Y,864,3,5,0,1,2,463,N,39,124500
443,RM,52.0,6240,Reg,BrkSide,Norm,1Fam,1.5Fin,1078,PConc,Y,1573,3,8,1,2,2,360,Y,78,162900
142,RL,78.0,11645,Reg,CollgCr,Norm,1Fam,1Story,1734,PConc,Y,1734,3,7,0,3,2,660,N,1,260000
363,RL,64.0,7301,Reg,Edwards,Norm,1Fam,SFoyer,0,Slab,Y,1922,4,7,1,3,2,672,N,6,198500
183,RL,60.0,9060,Reg,Edwards,Artery,1Fam,1Story,0,PConc,Y,1340,3,7,1,1,1,252,Y,50,120000
1074,RL,75.0,7950,IR1,Edwards,Norm,1Fam,2Story,690,CBlock,Y,1426,3,6,0,2,2,440,N,32,159500
354,RM,60.0,8520,Reg,OldTown,Norm,1Fam,1Story,624,BrkTil,Y,720,2,5,0,1,2,484,Y,82,105900
86,RL,121.0,16059,Reg,NoRidge,Norm,1Fam,2Story,1288,CBlock,Y,2417,4,9,1,3,2,462,Y,15,260000
6,RL,85.0,14115,IR1,Mitchel,Norm,1Fam,1.5Fin,796,Wood,Y,1362,1,5,0,3,2,480,Y,16,143000
897,RM,50.0,8765,Reg,IDOTRR,Norm,1Fam,1Story,951,BrkTil,N,951,2,6,0,1,1,327,Y,70,106500
966,RL,65.0,10237,Reg,Gilbert,RRAn,1Fam,2Story,783,PConc,Y,1484,3,8,1,3,2,393,Y,2,178900
1097,RM,60.0,6882,Reg,IDOTRR,Norm,1Fam,2Story,684,PConc,Y,1355,3,7,0,2,0,0,Y,93,127000
439,RL,40.0,4280,Reg,Crawfor,Norm,1Fam,1Story,440,PConc,N,694,2,4,1,1,1,352,Y,94,90350
610,RL,61.0,7943,Reg,Sawyer,Feedr,1Fam,1Story,1029,CBlock,Y,1029,3,5,0,2,1,261,N,46,118500
153,RL,0.0,14803,IR1,NWAmes,Norm,1Fam,2Story,825,CBlock,Y,1993,4,8,1,3,2,495,N,35,190000
313,RM,65.0,7800,Reg,OldTown,Artery,2fmCon,1.5Fin,793,CBlock,Y,1118,3,5,1,2,2,410,Y,67,119900
1266,FV,35.0,3735,Reg,Somerst,Norm,TwnhsE,2Story,691,PConc,Y,1452,3,6,0,4,2,506,N,7,183900
963,RL,24.0,2308,Reg,NPkVill,Norm,TwnhsE,2Story,804,CBlock,Y,1548,3,7,1,4,2,440,N,31,155000
225,RL,103.0,13472,Reg,NridgHt,Norm,1Fam,1Story,2000,PConc,Y,2392,3,8,1,2,3,968,N,6,386250
1082,RL,75.0,7500,Reg,Sawyer,Feedr,1Fam,1Story,1040,CBlock,Y,1040,3,5,0,3,1,308,N,47,133000
81,RL,100.0,13000,Reg,NAmes,Norm,1Fam,2Story,896,CBlock,Y,2142,4,8,1,3,1,509,N,41,193500
318,FV,75.0,9000,Reg,Somerst,Norm,1Fam,2Story,1088,PConc,Y,1959,3,8,1,3,3,1000,N,1,270000
149,RL,63.0,7500,Reg,SawyerW,Norm,1Fam,1Story,1080,PConc,Y,1080,3,6,0,2,0,0,Y,4,141000
579,FV,34.0,3604,Reg,Somerst,Norm,TwnhsE,2Story,689,PConc,Y,1392,2,5,0,2,2,540,N,1,146000
680,RL,0.0,9945,IR1,Sawyer,Norm,1Fam,1Story,988,CBlock,Y,988,3,5,0,2,2,572,N,46,128500
928,RL,0.0,9900,Reg,NWAmes,Feedr,1Fam,2Story,832,CBlock,Y,1978,4,9,1,3,2,486,N,40,176000
97,RL,78.0,10264,IR1,CollgCr,Norm,1Fam,1Story,1588,PConc,Y,1588,3,6,0,2,2,472,N,7,214000
413,FV,0.0,4403,IR2,Somerst,Norm,1Fam,1Story,1470,PConc,Y,1478,2,7,1,4,2,484,N,1,222000
279,RL,107.0,14450,Reg,NridgHt,Norm,1Fam,1Story,2000,PConc,Y,2121,3,8,1,3,3,732,Y,1,415298
382,FV,60.0,7200,Reg,Somerst,Norm,1Fam,1Story,1293,PConc,Y,1301,2,5,1,3,2,572,N,0,187750
978,FV,35.0,4274,IR1,Somerst,Norm,TwnhsE,1Story,1241,PConc,Y,1241,1,4,0,3,2,569,Y,1,199900
1056,RL,104.0,11361,Reg,NWAmes,Norm,1Fam,1Story,1193,CBlock,Y,1523,3,7,1,3,2,478,N,32,180000
421,RM,78.0,7060,Reg,Mitchel,Norm,Duplex,SFoyer,1344,PConc,Y,1344,2,8,0,4,4,784,Y,11,206300
1075,RL,74.0,8556,Reg,CollgCr,Norm,1Fam,1Story,1240,PConc,Y,1240,2,5,0,2,3,826,N,1,194000
898,RL,64.0,7018,Reg,SawyerW,Feedr,Duplex,2Story,0,Slab,Y,2240,5,10,0,2,2,528,N,30,142953
1430,RL,0.0,12546,IR1,NWAmes,Norm,1Fam,1Story,1440,CBlock,Y,1440,3,7,1,2,2,467,N,26,182900
1201,RL,71.0,9353,Reg,NAmes,Norm,1Fam,1Story,864,CBlock,Y,864,3,5,0,1,1,280,N,36,116050
543,RL,78.0,10140,Reg,NWAmes,RRAn,1Fam,1Story,1650,PConc,Y,1680,3,7,1,3,2,583,Y,11,213250
824,RL,60.0,9900,Reg,SWISU,Norm,1Fam,1.5Fin,778,BrkTil,Y,1489,3,7,1,2,1,240,Y,69,139500
743,RL,65.0,8450,Reg,SawyerW,Norm,1Fam,1Story,1349,PConc,Y,1349,3,6,0,2,2,539,Y,7,179000
789,RM,50.0,6000,Reg,OldTown,Norm,1Fam,1Story,901,CBlock,Y,901,2,4,0,1,1,281,Y,54,107900
782,RL,65.0,7153,Reg,SawyerW,Norm,1Fam,2Story,761,PConc,Y,1603,3,7,0,3,2,484,N,14,175900
300,RL,80.0,14000,Reg,Crawfor,Norm,1Fam,1Story,1092,CBlock,Y,1152,3,6,1,2,1,300,Y,59,158500
1453,RM,35.0,3675,Reg,Edwards,Norm,TwnhsE,SLvl,547,PConc,Y,1072,2,5,0,2,2,525,N,1,145000
114,RL,0.0,21000,Reg,Crawfor,Norm,1Fam,1Story,1809,CBlock,Y,2259,3,7,2,3,2,450,N,54,217000
1283,RL,61.0,8800,IR1,CollgCr,Norm,1Fam,1Story,1040,CBlock,Y,1040,3,5,0,2,2,484,Y,32,150500
1164,RL,60.0,12900,Reg,Sawyer,Feedr,Duplex,SFoyer,1198,CBlock,Y,1258,1,6,0,4,2,400,N,39,108959
311,RL,0.0,7685,IR1,Gilbert,Norm,1Fam,2Story,697,PConc,Y,1501,3,6,1,3,2,420,Y,13,165600
931,RL,73.0,8925,IR1,Timber,Norm,1Fam,1Story,1466,PConc,Y,1466,3,7,0,2,3,610,N,2,201000
657,RL,72.0,10007,IR1,NAmes,Norm,1Fam,1Story,1053,CBlock,Y,1053,3,5,0,3,1,312,Y,49,145500
46,RL,61.0,7658,Reg,NridgHt,Norm,TwnhsE,1Story,1752,PConc,Y,1752,2,6,1,3,2,576,N,5,319900
1349,RL,0.0,16196,IR3,SawyerW,Norm,1Fam,1Story,1482,PConc,Y,1494,3,5,1,3,2,514,N,9,215000
56,RL,100.0,10175,IR1,NAmes,Norm,1Fam,1Story,1425,CBlock,Y,1425,3,7,1,2,2,576,N,44,180500
1229,RL,65.0,8769,Reg,NridgHt,Norm,TwnhsE,1Story,1702,PConc,Y,1702,1,7,1,3,3,1000,N,0,367294
964,RL,122.0,11923,IR1,CollgCr,Norm,1Fam,1Story,1800,PConc,Y,1800,2,7,0,2,2,702,N,2,239000
922,RL,67.0,8777,Reg,Edwards,Feedr,Duplex,1.5Fin,1272,CBlock,Y,2200,4,9,0,4,0,0,Y,100,145900
459,RM,0.0,5100,Reg,OldTown,Norm,1Fam,2Story,588,PConc,Y,1666,3,7,1,1,1,228,Y,83,161000
1387,RL,80.0,16692,IR1,NWAmes,RRAn,1Fam,2Story,1392,CBlock,Y,2784,5,10,2,4,2,564,N,28,250000
480,RM,50.0,5925,Reg,OldTown,Norm,1Fam,1Story,907,BrkTil,Y,1131,2,7,0,1,2,672,Y,70,89471
1245,RL,0.0,11435,IR1,Crawfor,Norm,1Fam,2Story,792,PConc,Y,1517,3,7,2,1,2,400,Y,77,230000
614,RL,70.0,8402,Reg,Mitchel,Feedr,1Fam,1Story,1120,PConc,Y,1120,3,6,0,1,0,0,N,0,147000
1125,RL,0.0,9125,IR1,Gilbert,Norm,1Fam,SLvl,384,PConc,Y,1482,3,7,1,3,2,392,N,15,163900
224,RL,70.0,10500,Reg,NAmes,Norm,1Fam,1Story,864,CBlock,Y,864,2,4,0,1,2,576,N,38,97000
1234,RL,0.0,12160,IR1,NAmes,Norm,1Fam,1Story,1188,CBlock,Y,1188,3,6,0,2,2,531,N,51,142000
990,FV,65.0,8125,Reg,Somerst,Norm,1Fam,2Story,770,PConc,Y,1576,3,6,0,3,2,614,N,0,197000
714,RL,60.0,9873,Reg,BrkSide,RRAn,2fmCon,1Story,960,CBlock,N,960,3,6,0,2,2,576,N,36,129000
1003,RL,75.0,11957,IR1,Somerst,RRAn,1Fam,1Story,1574,PConc,Y,1574,3,7,1,2,3,824,N,2,232000
109,RM,85.0,8500,Reg,IDOTRR,Artery,1Fam,1.5Fin,793,CBlock,N,1517,3,7,0,2,0,0,Y,88,115000
744,RL,70.0,12886,IR1,Sawyer,Norm,1Fam,SLvl,520,CBlock,Y,1464,3,6,1,3,2,480,Y,46,175000
518,RL,79.0,10208,IR1,NoRidge,Norm,1Fam,2Story,1264,PConc,Y,2344,3,7,1,3,3,889,Y,13,265000
